Reference Position,AP,Distance (mm),Real Distance (mm),Error
P1,AP1,8318.357843137255,6660.60808034822,1657.7497627890352
P1,AP2,9577.049019607843,7557.651751701715,2019.397267906128
P1,AP3,8443.575609756097,6952.481571352779,1491.0940384033183
P1,AP4,10037.382352941177,7918.838298639517,2118.5440543016593
P2,AP1,2545.4202898550725,1000.0,1545.4202898550725
P2,AP2,6219.666666666667,3902.435137193186,2317.231529473481
P2,AP3,14821.420289855072,12578.080139671556,2243.340150183516
P2,AP4,19260.666666666668,13207.516799156456,6053.149867510212
P3,AP1,16845.133663366338,13339.32906858512,3505.804594781217
P3,AP2,16759.618811881188,13006.971207779312,3752.647604101876
P3,AP3,4418.217821782178,3685.457909134223,732.7599126479554
P3,AP4,3666.490099009901,1183.3849753989612,2483.1051236109397
